"incident_id","machine_id","machine_type","location","incident_datetime","incident_type","failure_code","failure_description","sensor_id","sensor_type","sensor_value","maintenance_type","maintenance_action","downtime_minutes","reported_by","resolved_datetime","resolution_status","cost_estimate","root_cause"
"INCID001","MC-1001A","CNC Lathe Model X","Plant A - East Bay","2024-05-02T08:15:27","machine_failure","F103","Spindle motor overheated causing rapid shutdown.","","","","","","120","sys_auto_01","2024-05-02T10:20:15","resolved","4500.5","Inadequate cooling due to blocked air filter."
"INCID002","MC-1002B","Robotic Arm RX-45","Plant B - North Wing","2024-05-03T09:23:11","sensor_anomaly","S201","Temperature sensor reported spike above threshold.","SNSR-90812","TempSensor","102.4","","","15","tech_joseph","2024-05-03T09:38:40","resolved","300","Loose wiring led to false readings."
"INCID003","MC-1003C","Packaging Line V2","Plant A - West Bay","2024-05-04T14:05:43","maintenance_event","","Scheduled preventive maintenance performed.","","","","preventive","Lubricated conveyor belt and replaced worn rollers.","45","sys_auto_02","2024-05-04T14:50:59","closed","800","Routine maintenance per schedule."
"INCID004","MC-1001A","CNC Lathe Model X","Plant A - East Bay","2024-05-05T07:49:10","machine_failure","F110","Axis drive fault detected during startup.","","","","","","75","tech_amanda","2024-05-05T09:04:11","resolved","2300","Drive module firmware corrupted after power outage."
"INCID005","MC-1004D","Assembly Robot Z330","Plant C - South Gate","2024-05-05T11:32:22","sensor_anomaly","S214","Pressure sensor exceeded max limit during cycle.","SNSR-77643","PressureSensor","210.7","","","20","tech_joseph","2024-05-05T11:53:10","resolved","410.75","Hydraulic seal worn, causing pressure spike."
"INCID006","MC-1002B","Robotic Arm RX-45","Plant B - North Wing","2024-05-06T16:10:03","machine_failure","F120","Controller failed to initialize motion sequence.","","","","","","180","tech_amanda","2024-05-06T19:19:55","closed","5100","Main relay board shorted due to condensation."
"INCID007","MC-1005E","Laser Cutter Pro-7","Plant D - Central Lane","2024-05-07T13:05:47","maintenance_event","","Predictive maintenance triggered on laser diode.","","","","predictive","Replaced laser diode and recalibrated beam alignment.","60","sys_auto_01","2024-05-07T14:06:33","resolved","1700.2","Laser diode nearing end-of-life per sensor data."
"INCID008","MC-1006F","Injection Molder S100","Plant E - South Dock","2024-05-08T15:20:59","machine_failure","F135","Nozzle heater failed, causing incomplete molding.","","","","","","95","tech_susan","2024-05-08T16:56:35","resolved","2900","Heater element burned out, required replacement."
"INCID009","MC-1002B","Robotic Arm RX-45","Plant B - North Wing","2024-05-09T10:50:12","sensor_anomaly","S220","Vibration sensor triggered abnormal movement.","SNSR-90123","VibSensor","0.89","","","10","sys_auto_03","2024-05-09T11:01:54","resolved","250","Loose mounting bracket on robotic arm."
"INCID010","MC-1007G","Drill Press Q500","Plant F - East Annex","2024-05-10T07:30:00","maintenance_event","","Scheduled corrective maintenance performed.","","","","corrective","Replaced main spindle and checked lubrication system.","120","tech_susan","2024-05-10T09:30:00","resolved","2100","Spindle wear detected in previous inspection."
"INCID011","MC-1001A","CNC Lathe Model X","Plant A - East Bay","2024-05-11T12:11:41","machine_failure","F145","Coolant pump failed, resulting in overheat warning.","","","","","","60","tech_joseph","2024-05-11T13:13:05","closed","1100","Pump motor seized from lack of lubrication."
"INCID012","MC-1008H","Press Brake PB-240","Plant G - North Dock","2024-05-12T16:45:22","sensor_anomaly","S231","Force sensor detected unbalanced load.","SNSR-98234","ForceSensor","1450","","","30","sys_auto_01","2024-05-12T17:14:16","resolved","550","Operator loaded part off-center."
